# covid.dat - COVID-19 statistics in New Hampshire
# Source: https://www.nh.gov/covid19/news/updates.htm

# Date		Cases	Change
3/13/2020	7	0
3/14/2020	7	7
3/15/2020	13	6
3/16/2020	17	4
3/17/2020	26	9
3/18/2020	39	13
3/19/2020	44	5
3/20/2020	55	11
3/21/2020	65	10
3/22/2020	78	13
3/23/2020	101	23
3/24/2020	108	7
3/25/2020	139	31
3/26/2020	158 19
3/27/2020	187 29
3/28/2020	214	27
3/29/2020	258	44
3/30/2020	314	56
3/31/2020	367	53
4/1/2020	415	48
4/2/2020	479 64
4/3/2020	540	70
4/4/2020	621	81
4/5/2020	669	48
4/6/2020	715	46
4/7/2020	747	32
4/8/2020	788 41
4/9/2020	819	31
4/10/2020	885 66
4/11/2020	929	45
4/12/2020	985	57
4/13/2020	1020	35
4/14/2020	1093	73
4/15/2020	1139	53
4/16/2020	1210	71
4/17/2020	1287	76
4/18/2020	1342	56
4/19/2020	1392	50
